Start,End
1640555177.455,1640555180.696
1640555187.622,1640555191.227
1640555197.731,1640555200.905
1640555207.875,1640555211.373
1640555218.025,1640555221.239
1640555228.163,1640555231.491
1640555238.295,1640555241.507
1640555248.403,1640555251.657
1640555258.563,1640555263.474
1640555268.685,1640555273.576
1640555278.828,1640555283.533
1640555288.982,1640555291.949
1640555299.095,1640555302.654
1640555309.256,1640555314.177
1640555319.372,1640555322.516
1640555329.551,1640555332.657
1640555339.686,1640555343.004
1640555349.8,1640555353.057
1640555359.955,1640555363.275
1640555370.099,1640555373.375
1640555380.232,1640555383.75
1640555390.373,1640555393.717
1640555400.79,1640555405.69
1640555410.923,1640555414.198
1640555421.083,1640555424.331
1640555431.213,1640555434.257
1640555441.348,1640555444.571
1640555451.494,1640555455.099
1640555461.625,1640555464.815
1640555471.782,1640555475.06
1640555481.92,1640555485.145
1640555492.021,1640555495.04
1640555502.161,1640555505.413
1640555512.279,1640555515.519
1640555522.432,1640555525.655
1640555532.552,1640555535.71
1640555542.688,1640555545.924
1640555552.817,1640555556.117
1640555562.958,1640555565.903
1640555573.108,1640555576.299
1640555583.24,1640555586.484
1640555593.366,1640555596.557
1640555603.51,1640555606.508
1640555613.635,1640555617.131
1640555623.789,1640555627.125
1640555633.923,1640555637.09
1640555644.324,1640555647.609
1640555654.448,1640555659.57
1640555664.588,1640555667.788
1640555674.787,1640555678.051
1640555684.914,1640555688.109
1640555695.037,1640555698.078
1640555705.19,1640555708.448
1640555715.317,1640555718.618
1640555725.469,1640555728.678
1640555735.6,1640555738.86
1640555745.736,1640555748.926
1640555755.878,1640555759.2
1640555766.005,1640555770.906
1640555776.144,1640555779.424
1640555786.3,1640555789.466
1640555796.432,1640555801.431
1640555806.556,1640555811.691
1640555816.736,1640555820.353
1640555826.857,1640555829.884
1640555837.003,1640555840.285
1640555847.13,1640555852.102
1640555857.271,1640555861.744
1640555867.402,1640555872.282
1640555877.536,1640555880.826
1640555887.938,1640555891.103
1640555898.082,1640555901.651
1640555908.214,1640555911.682
1640555918.335,1640555921.648
1640555928.47,1640555931.653
1640555938.61,1640555941.766
1640555948.737,1640555951.914
1640555958.864,1640555962.446
1640555969.011,1640555972.212
1640555979.135,1640555982.404
1640555989.258,1640555992.519
1640555999.39,1640556002.842
1640556009.528,1640556012.814
1640556019.663,1640556022.946
1640556029.812,1640556033.022
1640556039.953,1640556043.408
1640556050.083,1640556053.314
1640556060.229,1640556065.331
1640556070.382,1640556073.316
1640556080.508,1640556083.828
1640556090.641,1640556093.536
1640556100.772,1640556104.108
1640556110.896,1640556114.114
1640556121.039,1640556124.347
1640556131.437,1640556134.557
1640556141.569,1640556144.746
1640556151.709,1640556156.704
1640556161.863,1640556165.108
1640556171.996,1640556175.348
1640556182.17,1640556185.652
1640556192.308,1640556195.468
1640556202.449,1640556205.624
1640556212.588,1640556215.798
1640556222.713,1640556227.612
1640556232.861,1640556236.158
1640556243.04,1640556246.093
1640556253.19,1640556256.487
1640556263.321,1640556266.576
1640556273.425,1640556276.728
1640556283.565,1640556286.807
1640556293.71,1640556296.707
1640556303.847,1640556307.09
1640556314.014,1640556317.17
1640556324.136,1640556327.306
1640556334.283,1640556337.596
1640556344.413,1640556347.647
1640556354.555,1640556357.597
1640556364.696,1640556367.948
1640556375.101,1640556378.4
1640556385.258,1640556388.572
1640556395.396,1640556400.353
1640556405.512,1640556408.492
1640556415.685,1640556420.688
1640556425.818,1640556428.812
1640556435.943,1640556438.956
1640556446.088,1640556449.49
1640556456.217,1640556461.193
1640556466.362,1640556469.628
1640556476.486,1640556483.156
1640556486.67,1640556489.949
1640556496.8,1640556499.976
1640556506.958,1640556510.228
1640556517.209,1640556521.653
1640556527.345,1640556530.488
1640556537.493,1640556543.392
1640556547.632,1640556550.857
1640556557.758,1640556561.092
1640556567.901,1640556571.137
1640556578.039,1640556581.352
1640556588.175,1640556591.388
1640556598.322,1640556601.654
1640556608.455,1640556611.668
1640556618.85,1640556622.137
1640556628.985,1640556632.143
1640556639.144,1640556642.474
1640556649.26,1640556652.53
1640556659.379,1640556662.612
1640556669.535,1640556672.88
1640556679.646,1640556682.828
1640556689.781,1640556693.068
1640556699.931,1640556703.154
1640556710.036,1640556713.029
1640556720.208,1640556723.217
1640556730.343,1640556733.648
1640556740.476,1640556743.678
1640556750.587,1640556753.852
1640556760.713,1640556765.678
1640556770.853,1640556774.134
1640556781.006,1640556783.97
1640556791.12,1640556794.392
1640556801.258,1640556804.549
1640556811.376,1640556814.593
1640556821.526,1640556824.494
1640556831.656,1640556834.834
1640556841.816,1640556845.108
1640556851.947,1640556856.354
1640556862.322,1640556867.452
1640556872.456,1640556877.414
1640556882.604,1640556887.28
1640556892.727,1640556895.95
1640556902.881,1640556906.18
1640556913.017,1640556918.019
1640556923.146,1640556926.135
1640556933.309,1640556936.5
1640556943.443,1640556946.502
1640556953.56,1640556957.029
1640556963.724,1640556967.029
1640556973.862,1640556977.074
1640556983.989,1640556987.28
1640556994.128,1640556997.331
1640557004.261,1640557007.529
1640557014.392,1640557017.137
1640557024.52,1640557028.09
1640557034.674,1640557039.551
1640557044.808,1640557048.128
1640557054.938,1640557058.151
1640557065.081,1640557068.355
1640557075.199,1640557078.421
1640557085.345,1640557090.475
1640557095.482,1640557098.703
1640557105.834,1640557112.88
1640557115.97,1640557119.127
1640557126.105,1640557129.48
1640557136.237,1640557141.188
1640557146.425,1640557149.805
1640557156.568,1640557159.821
1640557166.684,1640557169.876
1640557176.824,1640557180.095
1640557186.948,1640557190.212
1640557197.094,1640557200.275
1640557207.217,1640557212.341
1640557217.359,1640557220.516
1640557227.499,1640557230.782
1640557237.642,1640557240.915
1640557247.754,1640557252.701
1640557257.88,1640557260.895
1640557268.07,1640557271.412
1640557278.191,1640557281.221
1640557288.321,1640557291.591
1640557298.471,1640557301.761
1640557308.587,1640557311.513
1640557318.702,1640557322.004
1640557328.836,1640557333.771
1640557338.98,1640557342.474
1640557349.395,1640557352.421
1640557359.53,1640557362.634
1640557369.658,1640557378.22
1640557379.787,1640557382.735
1640557389.902,1640557392.921
1640557400.044,1640557403.318
1640557410.166,1640557413.36
1640557420.3,1640557425.371
1640557430.44,1640557433.66
1640557440.556,1640557443.912
1640557450.699,1640557453.913
1640557460.818,1640557464.137
1640557470.947,1640557474.042
1640557481.086,1640557484.276
1640557491.223,1640557494.574
1640557501.384,1640557506.331
