Start,End
1641240511.843,1641240512.623
1641240521.974,1641240522.758
1641240532.091,1641240532.81
1641240542.256,1641240542.869
1641240552.389,1641240553.023
1641240562.515,1641240563.187
1641240572.647,1641240573.595
1641240582.778,1641240583.847
1641240592.919,1641240593.878
1641240603.077,1641240604.132
1641240613.219,1641240614.232
1641240623.322,1641240623.89
1641240633.468,1641240634.046
1641240643.613,1641240644.247
1641240653.72,1641240654.272
1641240663.861,1641240664.776
1641240674.01,1641240674.667
1641240684.16,1641240685.239
1641240694.355,1641240694.97
1641240704.448,1641240705.378
1641240714.588,1641240715.644
1641240724.84,1641240725.811
1641240734.899,1641240735.55
1641240745.06,1641240745.668
1641240755.467,1641240756.056
1641240765.63,1641240766.258
1641240775.727,1641240776.755
1641240785.871,1641240786.493
1641240796.014,1641240796.97
1641240806.146,1641240807.223
1641240816.297,1641240817.251
1641240826.401,1641240827.431
1641240836.533,1641240837.475
1641240846.678,1641240847.732
1641240856.826,1641240857.817
1641240866.933,1641240867.955
1641240877.069,1641240877.66
1641240887.227,1641240887.86
1641240897.367,1641240897.97
1641240907.489,1641240908.573
1641240917.598,1641240918.19
1641240927.738,1641240928.333
1641240937.865,1641240938.778
1641240948.024,1641240949.073
1641240958.215,1641240959.183
1641240968.328,1641240969.28
1641240978.456,1641240979.092
1641240988.605,1641240989.679
1641240998.971,1641240999.555
1641241009.101,1641241010.035
1641241019.256,1641241020.338
1641241029.443,1641241030.071
1641241039.592,1641241040.551
1641241049.712,1641241050.272
1641241059.829,1641241060.349
1641241069.992,1641241070.62
1641241080.113,1641241080.672
1641241090.263,1641241090.835
1641241100.419,1641241101.491
1641241110.53,1641241111.116
1641241120.671,1641241121.249
1641241130.805,1641241131.353
1641241140.94,1641241141.901
1641241151.072,1641241152.111
1641241161.286,1641241161.897
1641241171.417,1641241172.37
1641241181.555,1641241182.101
1641241191.689,1641241192.237
1641241201.849,1641241202.744
1641241211.957,1641241213.028
1641241222.096,1641241223.021
1641241232.251,1641241233.299
1641241242.735,1641241243.8
1641241252.889,1641241253.448
1641241263.038,1641241263.577
1641241273.199,1641241273.802
1641241283.298,1641241284.241
1641241293.618,1641241294.205
1641241303.765,1641241304.395
1641241313.895,1641241314.529
1641241324.045,1641241325.123
1641241334.168,1641241335.127
