Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,1280,36,274.29,275,1641240512.0,273f675a-0b36-4340-9abf-aceb64afdadf
f1,1280,36,274.26,275,1641240522.0,2f8eb5b9-07f7-4978-b2fd-92670c69d46f
f1,1280,36,275.31,276,1641240532.0,a03f0390-c839-4881-94e7-e99a07a56a95
f1,1280,36,267.28,268,1641240572.0,e6fe1861-e49d-4b40-98b4-ca78a70684cf
f1,1280,37,276.35,277,1641240583.0,a4fa9b9f-46da-459b-88b3-96523a2f8cd9
f1,1280,37,271.14,272,1641240593.0,cc2859f9-1c9c-4a31-87fe-bf9c79c7e361
f1,1280,37,275.67,276,1641240603.0,575f4c45-7c09-4be1-88ee-a6161000f271
f1,1280,37,276.64,277,1641240613.0,4ff3094d-2cab-44cc-9313-7ce98de43c33
f1,1280,37,276.75,277,1641240664.0,73075678-6756-41bd-828f-33fc8e63eef6
f1,1280,37,276.4,277,1641240684.0,abca80de-6899-49f2-a373-2aad36b316ec
f1,1280,37,276.34,277,1641240704.0,63de37a5-0b3a-4047-9756-fee6acadb097
f1,1280,37,283.15,284,1641240714.0,f848c04d-31a5-4b7e-8194-9c7bde8308f6
f1,1280,37,276.75,277,1641240725.0,fa39147e-5d15-47b8-9e18-7d2f6427f8a0
f1,1280,37,277.0,278,1641240776.0,1d7c91a4-1795-4d1b-a419-4a7fca5ac68c
f1,1280,37,276.1,277,1641240796.0,d2d871e3-5e32-4ce8-b59f-f02bb46349e9
f1,1280,37,276.61,277,1641240806.0,6aaa9296-6952-4b0c-9836-a317dcbafde5
f1,1280,37,282.39,283,1641240816.0,06041259-a109-46fa-a82e-d30ccc0eeca7
f1,1280,37,275.86,276,1641240826.0,c082f886-2ff1-405f-89e9-408f0fdd3f33
f1,1280,37,275.3,276,1641240836.0,4364e9a1-a19c-4785-b44e-07bc75972cad
f1,1280,37,276.74,277,1641240847.0,2e89ade9-b633-4f42-9950-1284d21db1d3
f1,1280,37,276.42,277,1641240857.0,8647264b-8ac6-4f13-a12a-b4a356600059
f1,1280,37,270.3,271,1641240867.0,2af29b32-d734-4652-882d-d748e4911287
f1,1280,37,276.53,277,1641240907.0,90f1f73c-0398-40a1-bc2b-492cda78d8d5
f1,1280,37,272.09,273,1641240938.0,704448f0-aba9-44e1-97e6-543474185e77
f1,1280,37,276.03,277,1641240948.0,7913935a-202e-4092-b427-f6e8f7e02c4f
f1,1280,37,275.65,276,1641240958.0,56cefea0-bfd5-4c60-b908-0fc7e9790dd9
f1,1280,37,276.6,277,1641240968.0,ddb71991-85e0-4459-b005-a3deb7d8d6b1
f1,1280,37,270.6,271,1641240988.0,500b62cd-54fd-4629-978a-6d819fe988e1
f1,1280,38,272.37,273,1641241009.0,00b1547e-638c-4d95-ba59-012515fc99d9
f1,1280,38,269.92,270,1641241019.0,f43c94f8-3e6d-4a6c-8626-1be3f8d33d3a
f1,1280,38,276.03,277,1641241039.0,e8d951c9-d616-4478-a850-29c445e30b72
f1,1280,38,277.35,278,1641241100.0,3c16dcd3-f5a0-41c6-aba5-cbd91bb4f97a
f1,1280,38,275.93,276,1641241141.0,d36c61b3-4337-4be3-b67f-2c64ff1eb041
f1,1280,38,279.92,280,1641241151.0,52dc7717-2258-47b2-9e2d-e68c4b93ce55
f1,1280,38,275.64,276,1641241171.0,b320a91f-bff6-4448-8477-abc91cce9999
f1,1280,38,277.11,278,1641241212.0,88cebeb4-6534-4fe6-a2a1-e45f6a6a70b7
f1,1280,38,275.97,276,1641241222.0,9f48eb8b-5219-477e-905a-7180cb1b6545
f1,1280,38,275.96,276,1641241232.0,a3fe140f-eec1-4405-a823-e67b6a15e853
f1,1280,38,275.22,276,1641241243.0,d7bb1070-ef25-42c5-ab15-f7511f68ad9a
f1,1280,38,276.36,277,1641241283.0,3f414a81-255b-4089-a148-d660ce7a7693
f1,1280,38,275.48,276,1641241324.0,048eb6cb-6852-42d3-b140-a5a6bd5e64c7
f1,1280,38,276.2,277,1641241334.0,d38b8c4c-fe0b-4d7d-9bfd-8b5d60a31153
f1,1280,38,277.35,278,1641241344.0,c5782219-2c8a-4275-b34c-9d046cf9fc4d
f1,1280,38,275.61,276,1641241364.0,90be74e7-a575-4da1-9776-3a40f1dc0c9e
f1,1280,38,276.32,277,1641241385.0,4837d611-b890-4825-babf-c5383d955fac
f1,1280,39,278.61,279,1641241405.0,65c1957e-4cee-48ab-bebe-cbe67f508393
f1,1280,39,276.36,277,1641241415.0,722b23e5-b04a-48ae-b3f0-9cfb3290ce00
f1,1280,39,276.24,277,1641241436.0,05935fed-5e6a-484b-804e-a98f92d91cda
f1,1280,39,276.19,277,1641241446.0,37fdff38-1466-4e22-9120-650c778a0c43
