Start,End
1641326861.941,1641326863.813
1641326872.095,1641326873.464
1641326882.232,1641326883.85
1641326892.369,1641326893.974
1641326902.507,1641326904.304
1641326912.667,1641326914.27
1641326922.779,1641326924.366
1641326932.925,1641326934.547
1641326943.126,1641326944.915
1641326953.226,1641326954.885
1641326963.353,1641326964.948
1641326973.475,1641326975.103
1641326983.609,1641326985.298
1641326993.752,1641326995.369
1641327003.89,1641327005.464
1641327014.043,1641327015.622
1641327024.198,1641327025.836
1641327034.315,1641327035.843
1641327044.445,1641327046.068
1641327054.585,1641327056.207
1641327064.753,1641327066.401
1641327074.874,1641327076.517
1641327085.027,1641327086.706
1641327095.162,1641327096.753
1641327105.561,1641327107.223
1641327115.721,1641327117.327
1641327125.865,1641327127.606
1641327135.992,1641327137.648
1641327146.146,1641327147.835
1641327156.278,1641327157.928
1641327166.43,1641327168.128
1641327176.569,1641327178.185
1641327186.71,1641327188.365
1641327196.857,1641327198.564
1641327207.011,1641327208.619
1641327217.168,1641327218.853
1641327227.284,1641327228.898
1641327237.437,1641327239.138
1641327247.577,1641327249.252
1641327257.735,1641327259.459
1641327267.884,1641327269.541
1641327278.037,1641327279.659
1641327288.179,1641327289.846
1641327298.336,1641327299.963
1641327308.465,1641327310.174
1641327318.629,1641327320.337
1641327328.767,1641327330.352
1641327338.911,1641327340.615
1641327349.301,1641327350.911
1641327359.427,1641327361.17
1641327369.535,1641327371.165
1641327379.674,1641327381.333
1641327389.818,1641327391.512
1641327399.966,1641327401.572
1641327410.085,1641327411.807
1641327420.224,1641327421.865
1641327430.374,1641327432.022
1641327440.505,1641327442.181
1641327450.716,1641327452.362
1641327460.882,1641327462.572
1641327471.026,1641327472.818
1641327481.168,1641327482.814
1641327491.308,1641327492.985
1641327501.491,1641327503.113
1641327511.617,1641327513.252
1641327521.762,1641327523.463
1641327531.896,1641327533.477
1641327542.098,1641327543.801
1641327552.223,1641327553.87
1641327562.378,1641327564.027
1641327572.509,1641327574.098
1641327582.656,1641327584.653
1641327593.084,1641327594.718
1641327603.27,1641327604.897
1641327613.417,1641327615.144
1641327623.571,1641327625.218
1641327633.688,1641327635.278
1641327643.85,1641327645.51
1641327653.958,1641327655.627
1641327664.112,1641327665.771
1641327674.267,1641327675.976
1641327684.418,1641327686.255
1641327694.548,1641327696.282
1641327704.699,1641327706.395
1641327714.828,1641327716.455
1641327724.977,1641327726.771
1641327735.122,1641327736.797
1641327745.273,1641327746.912
1641327755.408,1641327757.118
1641327765.569,1641327767.276
1641327775.685,1641327777.307
1641327785.843,1641327787.548
1641327795.98,1641327797.572
1641327806.13,1641327807.796
1641327816.264,1641327817.981
1641327826.468,1641327828.131
1641327836.873,1641327838.598
1641327846.963,1641327848.676
1641327857.067,1641327858.723
1641327867.2,1641327868.921
1641327877.333,1641327878.999
1641327887.468,1641327889.208
1641327897.607,1641327899.299
1641327907.734,1641327909.411
1641327917.966,1641327919.694
1641327928.071,1641327929.81
1641327938.22,1641327939.975
1641327948.371,1641327950.032
1641327958.493,1641327960.267
1641327968.628,1641327970.322
1641327978.822,1641327980.533
1641327988.941,1641327990.592
1641327999.086,1641328000.793
1641328009.208,1641328010.901
1641328019.346,1641328021.057
1641328029.483,1641328031.134
1641328039.629,1641328041.366
1641328049.744,1641328051.4
1641328059.871,1641328061.577
1641328070.009,1641328071.669
1641328080.403,1641328082.083
1641328090.524,1641328092.224
1641328100.664,1641328102.272
1641328110.87,1641328112.606
1641328120.986,1641328122.811
1641328131.115,1641328132.803
1641328141.243,1641328142.835
1641328151.398,1641328153.064
1641328161.496,1641328163.121
1641328171.634,1641328173.316
1641328181.781,1641328183.436
1641328191.919,1641328193.54
1641328202.059,1641328203.776
1641328212.188,1641328213.813
1641328222.329,1641328223.943
1641328232.514,1641328234.244
1641328242.596,1641328244.272
1641328252.718,1641328254.363
1641328262.902,1641328264.566
1641328273.022,1641328274.664
1641328283.173,1641328284.8
1641328293.288,1641328294.93
1641328303.462,1641328305.119
1641328313.572,1641328315.239
1641328323.965,1641328325.636
1641328334.091,1641328335.684
1641328344.228,1641328345.835
1641328354.357,1641328356.027
1641328364.501,1641328366.159
1641328374.634,1641328376.346
1641328384.783,1641328386.471
1641328394.919,1641328396.632
1641328405.042,1641328406.681
1641328415.186,1641328416.943
