Start,End
1641152267.673,1641152268.716
1641152277.801,1641152278.779
1641152287.946,1641152288.987
1641152298.083,1641152299.05
1641152308.224,1641152309.283
1641152318.339,1641152319.287
1641152328.472,1641152329.532
1641152338.608,1641152339.67
1641152348.745,1641152349.695
1641152358.87,1641152359.932
1641152368.999,1641152369.956
1641152379.142,1641152380.191
1641152389.268,1641152390.231
1641152399.394,1641152400.411
1641152409.531,1641152410.507
1641152419.647,1641152420.685
1641152429.792,1641152430.731
1641152439.934,1641152441.024
1641152450.068,1641152451.046
1641152460.207,1641152461.277
1641152470.332,1641152471.272
1641152480.475,1641152481.499
1641152490.639,1641152491.608
1641152500.775,1641152501.805
1641152511.207,1641152512.287
1641152521.347,1641152522.317
1641152531.5,1641152532.564
1641152541.631,1641152542.588
1641152551.764,1641152552.782
1641152561.898,1641152562.851
1641152572.02,1641152573.082
1641152582.192,1641152583.146
1641152592.331,1641152593.393
1641152602.455,1641152603.378
1641152612.607,1641152613.645
1641152622.798,1641152623.837
1641152632.939,1641152633.879
1641152643.143,1641152644.194
1641152653.25,1641152654.106
1641152663.392,1641152664.181
1641152673.532,1641152674.399
1641152683.662,1641152684.522
1641152693.779,1641152694.74
1641152703.942,1641152704.866
1641152714.086,1641152715.105
1641152724.212,1641152725.129
1641152734.354,1641152735.384
1641152744.49,1641152745.506
1641152754.873,1641152755.824
1641152765.0,1641152766.015
1641152775.15,1641152776.212
1641152785.296,1641152786.319
1641152795.433,1641152796.48
1641152805.584,1641152806.594
1641152815.692,1641152816.743
1641152825.873,1641152826.943
1641152836.03,1641152837.08
1641152846.145,1641152847.192
1641152856.266,1641152857.293
1641152866.409,1641152867.471
1641152876.578,1641152877.642
1641152886.711,1641152887.781
1641152896.831,1641152897.891
1641152906.965,1641152907.975
1641152917.108,1641152918.164
1641152927.231,1641152928.343
1641152937.361,1641152938.367
1641152947.488,1641152948.514
1641152957.616,1641152958.65
1641152967.786,1641152968.836
1641152977.911,1641152978.95
1641152988.047,1641152989.091
1641152998.434,1641152999.453
1641153008.574,1641153009.659
1641153018.711,1641153019.738
1641153028.845,1641153029.856
1641153038.984,1641153040.023
1641153049.113,1641153050.155
1641153059.279,1641153060.343
1641153069.421,1641153070.489
1641153079.542,1641153080.567
1641153089.69,1641153090.739
1641153099.802,1641153100.828
1641153109.94,1641153110.998
1641153120.07,1641153121.11
1641153130.199,1641153131.221
1641153140.339,1641153141.399
1641153150.47,1641153151.488
1641153160.6,1641153161.631
