Start,End
1641073442.962,1641073444.458
1641073453.069,1641073454.557
1641073463.227,1641073464.777
1641073473.341,1641073474.835
1641073483.504,1641073485.059
1641073493.617,1641073495.078
1641073503.782,1641073505.364
1641073513.924,1641073515.446
1641073524.045,1641073525.563
1641073534.19,1641073535.684
1641073544.33,1641073545.94
1641073554.467,1641073555.979
1641073564.612,1641073566.203
1641073574.774,1641073576.224
1641073584.912,1641073586.466
1641073595.059,1641073596.545
1641073605.192,1641073606.649
1641073615.33,1641073616.927
1641073625.499,1641073627.022
1641073635.885,1641073637.482
1641073646.035,1641073647.522
1641073656.19,1641073657.661
1641073666.335,1641073667.942
1641073676.478,1641073677.888
1641073686.62,1641073688.232
1641073696.755,1641073698.187
1641073706.904,1641073708.419
1641073717.048,1641073718.587
1641073727.199,1641073728.661
1641073737.377,1641073739.005
1641073747.517,1641073748.987
1641073757.665,1641073759.211
1641073767.877,1641073769.32
1641073778.051,1641073779.539
1641073788.188,1641073789.77
1641073798.345,1641073799.773
1641073808.47,1641073809.914
1641073818.642,1641073820.149
1641073828.75,1641073830.345
1641073838.864,1641073840.353
1641073849.01,1641073850.533
1641073859.146,1641073860.595
1641073869.308,1641073870.808
1641073879.692,1641073881.295
1641073889.859,1641073891.289
1641073899.961,1641073901.416
1641073910.099,1641073911.696
1641073920.198,1641073921.633
1641073930.361,1641073932.891
1641073940.478,1641073941.988
1641073950.657,1641073952.13
1641073960.764,1641073962.255
1641073970.903,1641073972.455
1641073981.052,1641073982.548
1641073991.167,1641073992.71
1641074001.324,1641074002.823
1641074011.43,1641074012.876
1641074021.588,1641074023.192
1641074031.73,1641074033.24
1641074041.86,1641074043.365
1641074051.992,1641074053.557
1641074062.13,1641074063.572
1641074072.257,1641074073.733
1641074082.394,1641074083.97
1641074092.523,1641074094.032
1641074102.66,1641074104.151
1641074112.791,1641074114.217
1641074123.206,1641074124.792
1641074133.339,1641074134.808
1641074143.497,1641074145.051
1641074153.626,1641074155.065
1641074163.764,1641074165.252
1641074173.914,1641074175.494
1641074184.061,1641074185.535
1641074194.185,1641074195.615
1641074204.336,1641074205.656
1641074214.461,1641074215.757
1641074224.597,1641074226.053
1641074234.765,1641074236.294
1641074244.902,1641074246.236
1641074255.014,1641074256.242
1641074265.164,1641074266.673
1641074275.31,1641074276.904
1641074285.443,1641074286.898
1641074295.608,1641074297.171
1641074305.741,1641074307.253
1641074315.88,1641074317.356
1641074326.014,1641074327.533
1641074336.159,1641074337.656
