Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,1280,37,268.28,269,1641073443.0,9d490a02-f6d9-4b66-860b-fdeb99af4676
f1,1280,37,272.49,273,1641073453.0,a6b28794-6b7c-48ce-8b2b-ba3a2830183c
f1,1280,37,276.59,277,1641073463.0,fe5c2eb6-f740-4ac1-9f5d-4deabd741ad6
f1,1280,37,272.7,273,1641073473.0,91e47349-5d23-440c-a2b6-0e450461b6a1
f1,1280,37,277.07,278,1641073483.0,1503ffea-41ba-4d16-b549-0471571fab5c
f1,1280,37,276.25,277,1641073493.0,d75189c2-180e-47b7-83a1-3464d307ba6b
f1,1280,37,271.72,272,1641073504.0,5f0bb8e6-39dd-4efc-989f-7f2a8a3da18b
f1,1280,37,275.56,276,1641073514.0,f85ca100-b9f6-4aad-9a61-a83d6736427f
f1,1280,37,276.59,277,1641073524.0,f06e79f2-1eea-4008-94a0-d9a573e125f0
f1,1280,37,274.46,275,1641073534.0,eadb1a14-ef56-4466-b14c-d73e243dbac0
f1,1280,37,276.01,277,1641073544.0,88b0a2bc-c6bd-43de-9029-e07df71c161f
f1,1280,37,275.31,276,1641073554.0,ba74e9a9-cb42-4ad0-8cb5-10ecc6071aa9
f1,1280,37,283.41,284,1641073564.0,7b2361d2-3a1c-4d19-b291-f09dd6c8fd22
f1,1280,37,272.7,273,1641073575.0,6eb8d1bc-1969-4cda-b1b0-daac47c1e2c0
f1,1280,37,274.92,275,1641073585.0,677b2070-4946-4a17-ac0d-ac2cf52547e8
f1,1280,37,276.22,277,1641073595.0,2ed833e9-e09f-4607-aa72-662682924087
f1,1280,37,277.96,278,1641073605.0,6bbe31a1-0063-4eb1-816e-2fa19a495b6a
f1,1280,37,275.85,276,1641073615.0,3d2b3939-e3fc-463b-8a5e-4b1505268629
f1,1280,37,276.5,277,1641073625.0,6ae271ca-b931-4d0f-a18e-8d5b63e6f4aa
f1,1280,37,273.19,274,1641073636.0,6315ab15-7f5c-4fa1-b373-17d8a41d804d
f1,1280,37,277.22,278,1641073646.0,9929bfb2-08af-4a05-b773-228ab369fac4
f1,1280,37,277.94,278,1641073656.0,ca0cb334-503f-45aa-ad03-a429d1e1be0c
f1,1280,38,276.85,277,1641073666.0,b0e0cb69-6a39-4478-9dac-9f87aac2551d
f1,1280,38,272.16,273,1641073676.0,3e0eb6a3-8357-4acd-bb2e-5e978533343c
f1,1280,38,276.28,277,1641073686.0,754cc8ab-d2dd-41af-8381-84c95c2bb7a3
f1,1280,38,276.33,277,1641073697.0,f6267376-d9f0-4395-a0d8-646478445f6b
f1,1280,38,273.65,274,1641073707.0,4f8f8afa-c935-4f85-bb0f-53d7bacefda3
f1,1280,38,273.39,274,1641073717.0,edd4f061-7e2b-4619-bd14-cd4f28bbafe0
f1,1280,38,275.2,276,1641073727.0,163d2d99-e1ab-46d3-8905-4e6a312244c9
f1,1280,38,271.92,272,1641073737.0,79c42350-6f40-4f01-be1e-1452e44445d7
f1,1280,38,283.55,284,1641073747.0,c1f7de18-f375-46a5-a313-28941ee29102
f1,1280,38,271.94,272,1641073757.0,8ecd5a5c-ebe7-4397-bb98-dcca7fdbccd3
f1,1280,38,275.21,276,1641073768.0,26633f6e-0bff-424f-a686-001f7bf0243d
f1,1280,38,275.77,276,1641073778.0,5a9df541-9c96-4319-8a79-6ca432600fb8
f1,1280,38,276.49,277,1641073788.0,a35a47f8-e033-4881-8b91-274731a21321
f1,1280,38,276.43,277,1641073798.0,b65cae7b-1750-4d31-bfa0-046b8de69a01
f1,1280,38,271.3,272,1641073808.0,f1c47a8b-71eb-4b61-b5ce-bd381095daeb
f1,1280,38,271.51,272,1641073818.0,cc9d437f-c5bb-4f34-a1d1-ec62cbd243f9
f1,1280,38,268.56,269,1641073829.0,4adb15bb-42b6-40e2-99c5-e881ae039be9
f1,1280,38,286.26,287,1641073839.0,38106c26-a4f9-4b4f-9257-14257c0bc37a
f1,1280,38,272.86,273,1641073849.0,eb9e6fd3-0af0-48ee-98ce-a83a4eaf857e
f1,1280,38,271.04,272,1641073859.0,5107a588-b90c-456b-a8ca-50d58271b4d9
f1,1280,39,274.41,275,1641073869.0,84845bec-c79c-40d7-9fe1-b119aac81fe0
f1,1280,39,271.58,272,1641073880.0,5259640e-a2b4-4d9d-93ab-d8e3709497b5
f1,1280,39,274.18,275,1641073890.0,83653644-a8b8-42db-9461-3152d643abf3
f1,1280,39,278.37,279,1641073900.0,c0909753-db64-4ad5-b93e-dc049e406553
f1,1280,39,273.67,274,1641073910.0,fdc23d35-5e9d-4488-baed-a9aa8b4de7c4
f1,1280,39,267.3,268,1641073920.0,e55af77b-5e56-4b38-84fc-9fecb0cf6cd1
f1,1280,39,279.07,280,1641073930.0,516a2274-3ae7-4106-9e18-a1b92519fb7e
f1,1280,39,276.47,277,1641073940.0,42b0484d-c73f-47b1-ab80-051ce0f0e67b
f1,1280,39,272.15,273,1641073950.0,3d1c1a83-33f9-405d-88ca-09bed2fec07f
f1,1280,39,270.99,271,1641073961.0,2647d34b-cff2-4eb9-9854-846df4ad64eb
f1,1280,39,274.13,275,1641073971.0,0ee0b7d7-239b-4fd5-b827-b7ce359c22c3
f1,1280,39,273.66,274,1641073981.0,280c9e86-0e6c-4a71-ba9a-39924ca469aa
f1,1280,39,275.75,276,1641073991.0,016c4179-3fee-4ed9-99c8-540580dc060f
f1,1280,39,272.82,273,1641074001.0,8485e551-206a-41c4-925f-ad809b88b249
f1,1280,39,268.5,269,1641074011.0,0da81ae2-d59a-4b5b-9e46-fb5a333c1473
f1,1280,39,270.94,271,1641074021.0,68a8ba1b-94e5-478f-9f9b-e546069221fc
f1,1280,39,272.19,273,1641074032.0,cb498da2-cfcf-4f8c-9bae-1fb7e1a98741
f1,1280,39,268.4,269,1641074042.0,9d99f58c-f66a-4a57-8b66-eb31a118b857
f1,1280,39,271.94,272,1641074052.0,707baeb5-d9f2-4890-b2c5-fe18ef780e53
f1,1280,39,274.62,275,1641074062.0,94f30678-d82a-4523-b064-43c583282c04
f1,1280,39,272.43,273,1641074072.0,11ab1d2c-9b42-4b77-a2e2-d3e9e8bff017
f1,1280,39,268.4,269,1641074082.0,8f8bd5c7-e627-4a63-bc43-3f0cf85527f1
f1,1280,39,270.96,271,1641074092.0,0eeaff97-e372-485e-adb4-dac2158279fb
f1,1280,39,271.4,272,1641074102.0,bbc55c8f-fb10-47d5-bf62-2287fb69e653
f1,1280,39,273.57,274,1641074113.0,d52f7641-1ebc-4d2d-b135-875b6d99a954
f1,1280,39,271.43,272,1641074123.0,06e3a2b8-1ffb-461c-8fbb-4ed3e8094413
f1,1280,39,273.19,274,1641074133.0,9c0d2210-4943-417d-87b5-9a6f285214bd
f1,1280,39,271.15,272,1641074143.0,009b5bad-f1d1-461e-a09e-cec2ffee7597
f1,1280,39,268.58,269,1641074153.0,7d02b7ba-f41d-448f-84ed-10d422184347
f1,1280,39,272.85,273,1641074164.0,be2d2552-dd7e-43af-b532-e4c0c275821e
f1,1280,39,272.78,273,1641074174.0,a7593810-c686-4128-9f89-f81e0c950e3b
f1,1280,39,267.97,268,1641074184.0,a1d770a4-8285-408c-80dd-7020554be08b
f1,1280,39,267.09,268,1641074194.0,7415a42e-b5a5-4b1c-be82-86ed1d6ef82c
f1,1280,39,270.79,271,1641074204.0,20bab548-7c1d-4c09-90cf-72ea97492ae0
f1,1280,39,268.66,269,1641074214.0,3b0849ff-07b5-422d-a0d6-d7e84a8b6688
f1,1280,39,267.82,268,1641074224.0,094be0e8-dffb-4c3f-90f2-1d201cd7e1a9
f1,1280,39,272.12,273,1641074235.0,8fa2fdd0-6865-4627-b69e-5656ef995e5a
f1,1280,39,271.7,272,1641074245.0,e74a3b91-2daa-4bba-b090-ca223fb341b6
f1,1280,36,276.64,277,1641074255.0,db741f7b-b025-4e89-a8ec-880ca327190a
f1,1280,36,275.15,276,1641074265.0,a9b6afaa-62d1-4482-9c7f-9740f2af9b76
f1,1280,36,276.47,277,1641074275.0,ddc4c43a-123a-46db-aa6b-c77d3f71a13f
f1,1280,36,281.71,282,1641074285.0,3caccf57-5937-4974-a99e-74175efb1c1b
f1,1280,36,284.91,285,1641074295.0,c780c1ff-70a7-4d9a-abaf-41f8eec16cb5
f1,1280,36,281.19,282,1641074306.0,618b4233-efb6-470b-96cd-55a15b445a88
f1,1280,37,281.14,282,1641074316.0,5ee98120-92d5-40f9-9c3d-668c472481f9
f1,1280,37,272.25,273,1641074326.0,a51513ce-d843-461d-b380-0edc1f3f82e9
f1,1280,37,276.97,277,1641074336.0,599d8b85-9d7f-486c-8bad-3e4f3554c0e6
f1,1280,37,282.18,283,1641074346.0,41ae7763-ac82-4384-9012-34d926b964d2
f1,1280,37,279.01,280,1641074356.0,bf5bb11c-fb82-4146-8aac-a8fc9c9d14d5
f1,1280,37,276.96,277,1641074367.0,a8947d8c-56ea-4aa9-b86a-65e51cb75061
f1,1280,37,276.41,277,1641074377.0,abf3cd4f-8311-4f7b-aa65-fa490eec67a0
f1,1280,37,279.91,280,1641074387.0,e957afba-d0b7-45e8-a8f1-86f412227b48
f1,1280,37,282.96,283,1641074397.0,d0e90a61-d26e-4a7e-9892-67c5a5252f67
f1,1280,37,285.29,286,1641074407.0,29f48738-faab-402a-8f7d-0266dfdf0a42
f1,1280,37,279.73,280,1641074417.0,be2401c6-a15f-43ff-96eb-9d57c806f2af
f1,1280,37,277.61,278,1641074428.0,cda9864e-5c6d-4a70-a5a1-c74027e0a39e
f1,1280,37,274.19,275,1641074438.0,8f1ed09b-8aac-4e4a-82e9-7898d80b2302
f1,1280,37,274.15,275,1641074448.0,caa97cf9-7271-4245-a13e-1d7e9f730adc
f1,1280,37,269.68,270,1641074458.0,a09aa754-b4f4-4e69-ab0b-12202c1cf50c
f1,1280,37,276.41,277,1641074468.0,586f75ad-c7ec-47c0-a9bb-488c3307a6fe
f1,1280,37,278.07,279,1641074478.0,8cb4dcd6-79e7-47c5-a6db-8534e736208e
f1,1280,37,276.77,277,1641074488.0,27a0e28b-9cc4-4ff6-80ce-684ed95abcaf
