Start,End
1640734589.507,1640734590.598
1640734593.645,1640734594.742
1640734597.768,1640734598.836
1640734601.878,1640734602.98
1640734606.017,1640734607.135
1640734610.118,1640734611.205
1640734614.24,1640734615.332
1640734618.421,1640734619.539
1640734622.535,1640734623.62
1640734626.657,1640734627.763
1640734630.775,1640734631.859
1640734634.91,1640734636.025
1640734639.04,1640734640.155
1640734643.159,1640734644.273
1640734647.255,1640734648.336
1640734651.38,1640734652.456
1640734655.51,1640734656.619
1640734659.621,1640734660.706
1640734663.749,1640734664.864
1640734667.869,1640734668.976
1640734671.982,1640734673.077
1640734676.109,1640734677.217
1640734680.217,1640734681.3
1640734684.337,1640734685.42
1640734688.46,1640734689.537
1640734692.585,1640734693.654
1640734696.715,1640734697.819
1640734700.827,1640734701.901
1640734704.951,1640734706.023
1640734709.072,1640734710.18
1640734713.19,1640734714.261
1640734717.306,1640734718.362
1640734721.454,1640734722.555
1640734725.6,1640734726.69
1640734729.729,1640734730.808
1640734733.845,1640734734.91
1640734737.968,1640734739.09
1640734742.124,1640734743.201
1640734746.245,1640734747.318
1640734750.37,1640734751.49
1640734754.511,1640734755.634
1640734758.629,1640734759.737
1640734762.729,1640734763.807
1640734766.846,1640734767.926
1640734770.974,1640734772.081
1640734775.104,1640734776.223
1640734779.207,1640734780.274
1640734783.325,1640734784.396
1640734787.449,1640734788.52
1640734791.573,1640734792.689
1640734795.698,1640734796.823
1640734799.825,1640734800.924
1640734803.973,1640734805.073
1640734808.104,1640734809.175
1640734812.231,1640734813.346
1640734816.363,1640734817.477
1640734820.482,1640734821.577
1640734824.842,1640734825.933
1640734829.103,1640734830.166
1640734833.235,1640734834.316
1640734837.363,1640734838.446
1640734841.51,1640734842.625
1640734845.644,1640734846.783
1640734849.754,1640734850.83
1640734853.897,1640734854.952
1640734858.022,1640734859.13
1640734862.151,1640734863.224
1640734866.292,1640734867.364
1640734870.426,1640734871.506
1640734874.57,1640734875.663
1640734878.702,1640734879.771
1640734882.83,1640734883.911
1640734886.958,1640734888.022
1640734891.086,1640734892.172
1640734895.23,1640734896.346
1640734899.366,1640734900.454
1640734903.508,1640734904.617
1640734907.626,1640734908.725
1640734911.769,1640734912.854
1640734915.939,1640734917.02
1640734920.07,1640734921.145
1640734924.224,1640734925.304
1640734928.367,1640734929.442
1640734932.508,1640734933.6
1640734936.653,1640734937.737
1640734940.784,1640734941.853
1640734944.91,1640734945.982
1640734949.047,1640734950.153
1640734953.17,1640734954.27
1640734957.297,1640734958.41
1640734961.43,1640734962.517
1640734965.559,1640734966.634
1640734969.688,1640734970.795
1640734973.82,1640734974.936
1640734977.962,1640734979.058
1640734982.091,1640734983.192
1640734986.223,1640734987.331
1640734990.351,1640734991.431
1640734994.488,1640734995.602
1640734998.617,1640734999.689
1640735002.751,1640735003.844
1640735006.877,1640735007.949
1640735011.005,1640735012.076
1640735015.135,1640735016.206
1640735019.263,1640735020.332
1640735023.4,1640735024.473
1640735027.525,1640735028.607
1640735031.654,1640735032.719
