Start,End
1664436638.125,1664436638.464
1664436648.503,1664436649.161
1664436658.88,1664436659.307
1664436669.314,1664436669.819
1664436679.656,1664436680.219
1664436689.985,1664436690.367
1664436700.364,1664436700.814
1664436710.713,1664436711.251
1664436721.105,1664436721.611
1664436731.434,1664436731.846
1664436741.774,1664436742.17
1664436752.152,1664436752.711
1664436762.498,1664436762.936
1664436772.86,1664436773.227
1664436783.268,1664436783.73
1664436793.662,1664436794.237
1664436803.972,1664436804.306
1664436814.358,1664436814.789
1664436824.703,1664436825.135
1664436835.09,1664436835.71
1664436845.439,1664436845.871
1664436855.808,1664436856.128
1664436866.187,1664436866.589
1664436876.537,1664436877.051
1664436887.172,1664436887.51
1664436897.521,1664436898.122
1664436907.883,1664436908.431
1664436918.223,1664436918.61
1664436928.599,1664436929.011
1664436938.955,1664436939.348
1664436949.287,1664436949.814
1664436959.645,1664436960.132
1664436969.992,1664436970.511
1664436980.336,1664436980.732
1664436990.676,1664436991.111
1664437001.008,1664437001.332
1664437011.353,1664437011.813
1664437021.754,1664437022.231
1664437032.117,1664437032.563
1664437042.446,1664437042.834
1664437052.808,1664437053.289
1664437063.164,1664437063.887
1664437073.514,1664437074.01
1664437083.904,1664437084.272
1664437094.248,1664437094.67
1664437104.597,1664437104.971
1664437114.941,1664437115.348
1664437125.29,1664437126.006
1664437135.919,1664437136.351
1664437146.256,1664437146.758
1664437156.629,1664437157.112
1664437166.969,1664437167.312
1664437177.328,1664437177.891
1664437187.66,1664437188.371
1664437198.008,1664437198.487
1664437208.417,1664437208.752
1664437218.789,1664437219.191
1664437229.158,1664437229.848
1664437239.464,1664437239.931
1664437249.805,1664437250.149
1664437260.148,1664437260.534
1664437270.502,1664437270.931
1664437280.85,1664437281.237
1664437291.191,1664437291.637
1664437301.543,1664437301.89
1664437311.925,1664437312.349
1664437322.568,1664437322.989
1664437332.911,1664437333.317
1664437343.275,1664437343.653
1664437353.647,1664437354.036
1664437363.967,1664437364.372
1664437374.35,1664437374.795
1664437384.985,1664437385.39
1664437395.366,1664437395.775
1664437405.724,1664437406.116
1664437416.096,1664437416.472
1664437426.447,1664437426.813
1664437436.797,1664437437.151
1664437447.16,1664437447.574
1664437457.507,1664437457.855
1664437467.848,1664437468.262
1664437478.199,1664437478.572
1664437488.541,1664437488.933
1664437498.901,1664437499.255
1664437509.253,1664437509.592
1664437519.61,1664437520.04
1664437529.959,1664437530.476
1664437540.331,1664437540.714
1664437550.719,1664437551.196
1664437561.078,1664437561.644
1664437571.456,1664437571.896
1664437581.805,1664437582.135
1664437592.157,1664437592.619
1664437602.506,1664437603.021
1664437612.853,1664437613.193
1664437623.26,1664437623.677
1664437633.854,1664437634.457
1664437644.247,1664437644.617
1664437654.602,1664437655.039
1664437664.964,1664437665.316
1664437675.343,1664437675.739
1664437685.721,1664437686.396
1664437696.09,1664437696.392
1664437706.433,1664437706.813
1664437716.782,1664437717.135
1664437727.167,1664437727.534
1664437737.568,1664437738.066
1664437747.893,1664437748.274
1664437758.277,1664437758.856
1664437768.665,1664437769.141
1664437779.039,1664437779.554
1664437789.402,1664437789.817
1664437799.796,1664437800.362
1664437810.201,1664437810.613
1664437820.573,1664437820.999
1664437830.914,1664437831.297
1664437841.304,1664437841.802
1664437851.642,1664437852.075
1664437862.085,1664437862.54
1664437872.426,1664437872.782
1664437883.08,1664437883.435
1664437893.467,1664437894.024
1664437903.797,1664437904.158
1664437914.148,1664437914.538
1664437924.516,1664437924.934
1664437934.879,1664437935.317
1664437945.228,1664437945.718
1664437955.578,1664437956.001
1664437965.938,1664437966.426
1664437976.318,1664437976.694
1664437986.63,1664437987.116
1664437996.936,1664437997.422
1664438007.387,1664438007.753
1664438017.769,1664438018.697
1664438028.123,1664438028.594
1664438038.477,1664438038.876
1664438048.835,1664438049.289
1664438059.185,1664438059.711
1664438069.545,1664438069.957
1664438079.875,1664438080.223
1664438090.252,1664438090.746
1664438100.621,1664438101.15
1664438110.98,1664438111.379
1664438121.347,1664438121.877
1664438131.91,1664438132.386
1664438142.33,1664438142.696
1664438152.61,1664438153.239
1664438162.966,1664438163.339
1664438173.305,1664438173.639
1664438183.686,1664438184.066
1664438193.989,1664438194.422
1664438204.347,1664438204.676
1664438214.676,1664438215.113
1664438225.01,1664438225.457
1664438235.349,1664438235.738
1664438245.691,1664438246.143
1664438256.026,1664438256.458
1664438266.362,1664438266.698
1664438276.713,1664438277.098
1664438287.064,1664438287.567
