Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,256,40,5.4,6,1664447191.0,b025208d-f56c-476c-8e4c-73f8c916913b
f1,256,40,4.68,5,1664447196.0,f663dbbd-b8ab-4c6b-940e-783fa24157e0
f1,256,40,18.91,19,1664447201.0,428dc6de-44f2-40be-a869-3c19d07025e5
f1,256,40,4.51,5,1664447206.0,d257e73a-5e8d-4919-add6-dbb8c9640c14
f1,256,40,4.22,5,1664447212.0,2c2fd8e4-14f4-4916-99f5-c9743aff1265
f1,256,40,4.25,5,1664447217.0,0d0cc1ec-46df-4e14-8b8f-6fc2e8d2f433
f1,256,40,5.64,6,1664447222.0,35f6e9d2-7b4c-4671-a7ad-bd7821ad14c0
f1,256,40,11.48,12,1664447227.0,40c9f526-e1b4-4500-8e3f-5bf6efbf58e2
f1,256,40,4.58,5,1664447232.0,c4bb6438-9450-49f8-bc51-fc6879bd55b7
f1,256,40,13.78,14,1664447237.0,178d5ddc-d1d0-45b5-9fa2-2ad33ace1067
f1,256,40,4.37,5,1664447242.0,2020487f-78dd-4a9f-9157-fef05dc462f7
f1,256,40,4.64,5,1664447247.0,fbb9542f-04d8-47b0-9478-8c93bc7d3e4c
f1,256,40,22.13,23,1664447252.0,2f22cc86-9b4b-4190-aca1-fb89cd9726a5
f1,256,40,4.43,5,1664447257.0,fc40be5c-c60c-4f9c-8c46-fa3138192e91
f1,256,40,6.14,7,1664447262.0,72d583bd-5632-4cf9-9dd9-44ee4523cd6c
f1,256,40,4.45,5,1664447267.0,975f8f63-f6e3-4192-92d4-2817688137f1
f1,256,40,22.39,23,1664447272.0,320b74a9-7a1e-4261-ac50-aed937ec2ad5
f1,256,40,4.43,5,1664447277.0,a95999e4-455a-4e4b-a7c6-021aefb47280
f1,256,40,5.47,6,1664447282.0,6782d0ec-bb44-4e28-ad28-7d1fdba018da
f1,256,40,12.8,13,1664447287.0,94685c8a-f6f9-4e81-a2c1-d958955e085a
f1,256,40,4.65,5,1664447292.0,42274ce7-9deb-4bea-a85c-e81ec45c7e94
f1,256,40,4.34,5,1664447298.0,82b2d6c1-747f-4a4d-bc3d-9886b59077ed
f1,256,40,23.01,24,1664447303.0,288ebdfd-e99a-4fd1-a528-23aab41e47eb
f1,256,40,4.53,5,1664447308.0,bc40b0c3-5066-49e1-9700-2898f25bd540
f1,256,40,6.1,7,1664447313.0,025894d0-5c86-47b2-aee9-8b72fbd46600
f1,256,40,7.69,8,1664447318.0,48d46256-697b-41d8-b209-f880b256d3cc
f1,256,40,4.66,5,1664447323.0,976b6d23-6141-440c-8c4a-037a8fa07aed
f1,256,40,5.93,6,1664447328.0,4fceb041-ddb7-42ac-a7a7-6b28aa37307d
f1,256,40,4.15,5,1664447333.0,5b2483d3-3816-4bd6-8025-7e5dc544c7c7
f1,256,40,4.83,5,1664447338.0,02550f6e-476d-4722-aef7-e80a6d451203
f1,256,40,4.87,5,1664447343.0,99f963ec-0e9c-47c4-933d-c764e4bba0c5
f1,256,40,4.79,5,1664447348.0,296c31c0-f28e-4785-b315-540074db0ddf
f1,256,40,4.44,5,1664447353.0,bdb27631-c7a6-4646-a0fe-37b17e5329bf
f1,256,40,4.72,5,1664447358.0,5fc4f0d0-da1c-4609-bf96-126adbf317ff
f1,256,40,4.47,5,1664447363.0,20a73f2b-06db-4419-a889-9b9e8e2a6ff7
f1,256,40,6.27,7,1664447368.0,1d3fbca3-caed-4e00-8590-bad566dcafd3
f1,256,40,4.26,5,1664447374.0,c8a8d9ac-b6dc-40ca-a4f8-8a07ee808491
f1,256,40,13.84,14,1664447379.0,ef84f0cf-97d3-4236-bceb-370455295ecf
f1,256,40,4.3,5,1664447384.0,4a4559f1-8d10-4658-a523-feeed735aea3
f1,256,40,5.71,6,1664447389.0,fa10726b-d1f0-4628-975c-de682fba9fe7
f1,256,40,4.42,5,1664447394.0,b777a700-78a5-4f84-a1b6-7fee96d7d221
f1,256,40,13.76,14,1664447399.0,d4d6fa76-d1c1-4565-8d14-ab00421cabef
f1,256,40,4.37,5,1664447404.0,82a54519-6c7d-40c7-84e5-8a2d6b147dff
f1,256,40,4.32,5,1664447409.0,736e6a6e-171f-4d86-b5b9-1816986e0e36
f1,256,40,4.38,5,1664447414.0,7fc8f608-9a39-4fa5-91f7-d2683bec0d09
f1,256,40,4.78,5,1664447419.0,52a455a8-9775-4f83-b582-5dd0b3675998
