Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,256,39,10.17,11,1664436638.0,dcc992f8-3b00-415f-9c33-82539d39513c
f1,256,39,17.06,18,1664436648.0,b621bfc6-2e80-42b5-ab0b-d414b4d77e52
f1,256,39,15.44,16,1664436658.0,17530a70-7d10-41d5-8130-8868dc909e03
f1,256,39,4.87,5,1664436669.0,5473913f-938c-4391-b6cf-c1c479ac1788
f1,256,39,10.71,11,1664436679.0,97ceeab6-e674-4424-b6d9-80d0ecdc97b7
f1,256,39,4.74,5,1664436690.0,2d5dc231-00fe-45df-9e8b-ff90f105c36b
f1,256,39,4.55,5,1664436700.0,4b0e4a50-6e3c-418b-bc89-c1587f634f81
f1,256,39,4.63,5,1664436710.0,f600bcb5-93ce-45f9-a549-f6bb18b1d166
f1,256,39,4.55,5,1664436721.0,0afed1ab-a777-4406-9139-5a3daa1b991b
f1,256,39,4.41,5,1664436731.0,44725b03-b69e-4560-b085-70cf47867656
f1,256,39,4.36,5,1664436741.0,3a5ea278-d7b0-496a-8d25-8274e0a277c3
f1,256,39,4.31,5,1664436752.0,e681fe63-ea66-48a6-b9da-7e87d0749c37
f1,256,39,8.42,9,1664436762.0,b52a5e10-87e5-40c3-857a-5f4ee2de1948
f1,256,39,4.36,5,1664436772.0,4de168a3-5dd0-4ddd-8cbc-f61421bd2e6a
f1,256,39,12.52,13,1664436783.0,2828b7b9-0a0f-425f-9c23-fb06c5b4d542
f1,256,39,4.69,5,1664436793.0,5f6c208b-919a-4c77-b359-e4bc6517e8d8
f1,256,39,6.38,7,1664436804.0,a81cc82a-40ee-45dd-b691-6815d71898ea
f1,256,39,4.9,5,1664436814.0,40aba791-43a3-4593-9a88-0e66a14ebcce
f1,256,39,10.01,11,1664436824.0,7c6cdd59-cedc-4cf9-af02-9c3e895fa302
f1,256,39,4.87,5,1664436835.0,647c74ef-bef4-453e-a4a5-16fe0695490e
f1,256,39,4.47,5,1664436845.0,e41d2ec7-ea67-43e6-a97d-c70a102d93b8
f1,256,39,4.17,5,1664436855.0,d0e4a1f8-99b8-4c25-89d2-d69bfa05fa32
f1,256,39,19.55,20,1664436866.0,8f6b5b7f-24fe-44d8-bfdf-5c561bbe64b0
f1,256,39,5.51,6,1664436876.0,1b6d4af7-c224-448e-be31-f87a859186d6
f1,256,39,4.19,5,1664436887.0,e8aad041-41d4-44d9-9c3a-78cc4ce7fe17
f1,256,39,4.13,5,1664436897.0,fd63ff84-6392-4d1b-adfd-50959887b279
f1,256,39,4.13,5,1664436907.0,d4569d76-fe01-4688-9dea-50da61419821
f1,256,39,4.34,5,1664436918.0,84ba0887-00fb-47e6-81e3-3588a31c6c11
f1,256,39,5.13,6,1664436928.0,be1464a7-cfc1-4550-b086-ffc279907538
f1,256,39,3.95,4,1664436939.0,5e35e0f2-c321-4db6-8b16-48f26865c0b8
f1,256,39,4.51,5,1664436949.0,09779c35-fc57-447e-b82b-e9b6bd27817a
f1,256,39,10.3,11,1664436959.0,e9b7f40f-eaa2-4ff7-afd4-6c0a33b6e3b1
f1,256,39,8.38,9,1664436970.0,9ff63d6e-2b03-4b39-8a87-80fe770b1703
f1,256,39,4.46,5,1664436980.0,668cfe6b-5ac1-4803-93c2-bf3b5c3fcadb
f1,256,39,4.78,5,1664436990.0,a24f6794-55c9-4aaf-a289-7768674a2668
f1,256,39,8.68,9,1664437001.0,90fccc85-df74-4c04-a061-9501245e7f99
f1,256,39,10.53,11,1664437011.0,8e9b34b8-1052-4150-b92f-bb5803739b77
f1,256,39,4.74,5,1664437021.0,5dc5819a-d140-4ca0-bca9-29b2ce52e09c
f1,256,39,4.16,5,1664437032.0,dfc74dfb-6daa-4c83-a74a-b6fd065fa79d
f1,256,39,10.53,11,1664437042.0,44ef60a4-d319-422c-96de-22c9c1da82e1
f1,256,39,4.23,5,1664437052.0,c2ff7b04-e9d2-49d7-b413-bcfaa1327829
f1,256,39,4.78,5,1664437063.0,81ae74ca-ddfc-4d9b-8b25-a997bb16a1a2
f1,256,39,4.08,5,1664437073.0,8fa5c070-0e37-4f58-8443-3c7d2c0037af
f1,256,39,4.16,5,1664437083.0,871da70b-6bba-41f1-b9a7-e386a360bd9b
f1,256,39,14.21,15,1664437094.0,2d393d0d-5e90-4c27-b426-f6fd1ce39a13
f1,256,39,4.79,5,1664437104.0,227fde18-6611-4561-86fe-d663ad8b7e81
f1,256,39,4.36,5,1664437114.0,9ff92836-eff0-4b71-91db-a672b2cdbf20
f1,256,39,4.19,5,1664437125.0,3959c74b-d336-48b9-9ad8-2fbb5e1fcdec
f1,256,39,13.82,14,1664437135.0,324c95e6-b889-458a-933b-5e0dc4ba8fe6
f1,256,39,15.5,16,1664437146.0,3920e322-20ce-4f47-9af4-4bcc51976386
f1,256,39,4.23,5,1664437156.0,4f302ee8-4db1-4a9d-945c-d98e610fffa3
f1,256,39,5.09,6,1664437167.0,f17f9b99-2ccd-43ca-9b1e-a58f3970f569
f1,256,39,4.49,5,1664437177.0,0d430a8f-522d-4e88-be57-9f74f44b29e1
f1,256,39,4.29,5,1664437187.0,fe13196c-aead-41d3-8e25-31ce0b6d567b
f1,256,39,12.61,13,1664437198.0,4eea6200-dec9-4a14-a3a8-f0f4f3a8dcee
f1,256,39,4.3,5,1664437208.0,702d12f6-98e6-40eb-b072-bfdab182cc36
f1,256,39,20.73,21,1664437218.0,6d596c51-f1c0-4ae8-a635-e99c5f0c3a44
f1,256,39,4.12,5,1664437229.0,7bc669da-2204-458b-966d-beee57bd04eb
f1,256,39,15.92,16,1664437239.0,c66c7c86-75d4-4fbf-bb0a-1f3150926e56
f1,256,39,4.22,5,1664437249.0,612cf03f-64dd-4e86-8c1b-5941542bf2d1
f1,256,39,6.82,7,1664437260.0,36a3628c-df68-44f1-9a3c-9c68c5902f4b
f1,256,39,19.71,20,1664437270.0,0dd3fcd5-e386-4e19-83b1-857dd011e275
f1,256,39,4.56,5,1664437280.0,2374fc4c-b438-4459-833d-eb54748b0fc2
f1,256,39,4.14,5,1664437291.0,ad7d9a6b-83cf-4cb5-af23-cf31be7b3155
f1,256,39,4.33,5,1664437301.0,57f25c36-cfa5-4ee5-8dd1-f4df39a58770
f1,256,39,4.16,5,1664437311.0,6ec82daa-2e17-406f-9cf8-3a5c0c80a218
f1,256,39,6.98,7,1664437322.0,79e32f4e-8cec-400c-a281-71b68a5dd6cf
f1,256,39,4.19,5,1664437332.0,6ab7162f-45cf-4b5a-99e9-e267eaa39a45
f1,256,39,17.7,18,1664437343.0,7017bbc1-50f3-4f81-85d4-876b0bf25bff
f1,256,39,4.23,5,1664437353.0,24f203a8-422c-4189-920e-0f253c6a4be4
f1,256,39,4.26,5,1664437364.0,58910b8e-0904-4763-9abb-ea49bce6f931
f1,256,39,4.47,5,1664437374.0,6ac1b62b-3b91-4af4-93f4-0a10f8bead05
f1,256,39,17.82,18,1664437385.0,5b5c4354-b2c8-4c50-832d-15fd7ff94a84
f1,256,39,10.46,11,1664437395.0,f5975936-eca2-4f04-9220-555ae8a51d00
f1,256,39,4.24,5,1664437405.0,5f3e2db3-fd55-4ab5-b8f1-34da393e4383
f1,256,39,7.89,8,1664437416.0,26bcfe4a-2121-4c90-9425-433dbc396076
f1,256,39,13.03,14,1664437426.0,351a402e-9a66-42ee-85aa-de5c5e951f92
f1,256,39,4.1,5,1664437436.0,614e4b2c-51b7-43ae-b346-1944465546c0
f1,256,39,17.7,18,1664437447.0,f535e6a0-d3a4-4f43-a568-414a243f6f06
f1,256,39,4.94,5,1664437457.0,ce5db942-98a1-4c29-81b4-43235b406af7
f1,256,39,4.4,5,1664437467.0,1a9da458-3651-4605-a786-798eba690cdd
f1,256,39,6.23,7,1664437478.0,abeb8799-485b-4bcf-a4e5-cd58caefb477
f1,256,39,4.83,5,1664437488.0,0c3a46ac-f1dc-483b-a61a-09c8a1b7b9bf
f1,256,39,4.81,5,1664437498.0,ad7491af-6394-4bc1-8d33-50e94bca6d21
f1,256,39,10.88,11,1664437509.0,a932222c-a1dc-4f0d-9864-2ac97e0666c7
f1,256,39,4.93,5,1664437519.0,1c459b3b-2665-4627-9510-b1e76927b6e8
f1,256,39,17.84,18,1664437530.0,c09a87fc-ad07-410d-b26e-e0005ca9ffb7
f1,256,39,4.45,5,1664437540.0,8edaa6ad-0a5e-4a12-9734-7d6335c2e601
f1,256,39,8.03,9,1664437550.0,dbaeea9a-5820-495a-b080-30a3586790ef
f1,256,39,4.89,5,1664437561.0,70339e4d-7558-4edb-afe8-b1a3f7e25637
f1,256,39,20.67,21,1664437571.0,57d1ccd0-6b60-42b3-bc94-2ae2f56ac356
f1,256,39,19.42,20,1664437581.0,2f360d33-19b2-486a-80c5-aa33e162efd2
f1,256,39,5.14,6,1664437592.0,f631724e-91fe-4c97-999a-2e2499136695
f1,256,39,17.27,18,1664437602.0,0116750b-254c-450d-9218-e1ce2c7ae4fc
f1,256,39,4.41,5,1664437612.0,f973a969-5365-4f63-afea-d2a1cc8bd57e
f1,256,39,4.15,5,1664437623.0,513034be-3350-4ffc-80ec-78042a3f47a3
f1,256,39,4.81,5,1664437633.0,b1a2f83d-292a-47ed-ba36-a7e07a5547c6
f1,256,39,12.68,13,1664437644.0,bed169d5-eaa8-4730-a53f-5d7381c0b91c
f1,256,39,4.24,5,1664437654.0,c26e19f3-4f0c-46b1-bc56-b3a28a6429e5
f1,256,39,17.38,18,1664437665.0,a8ed93d2-76d5-4dce-896f-b22f9d030d20
f1,256,39,4.25,5,1664437675.0,30d3f7de-76c9-46d4-ab2c-c2893944f962
f1,256,39,15.37,16,1664437685.0,340d622a-0fad-426e-9822-eb4de6e6fbe2
f1,256,39,4.28,5,1664437696.0,4a0e85d4-6346-478c-913b-cd17851e8d8f
f1,256,39,4.89,5,1664437706.0,7565cfd9-6778-4ae1-aaf7-034bd5a95be0
f1,256,39,4.57,5,1664437716.0,2b31375d-555f-47dd-9ee7-99f4e890846a
f1,256,39,4.24,5,1664437727.0,ca7cc5d5-f868-4e28-b829-c7c4861a01c1
f1,256,39,4.89,5,1664437737.0,1988834c-88dc-4af6-a5ce-1046065a4007
f1,256,39,6.15,7,1664437747.0,c4abcc01-0525-4625-ad8d-583851688cda
f1,256,39,4.31,5,1664437758.0,e8e08614-d45f-4335-903f-b26b1fcbf34e
f1,256,39,5.37,6,1664437768.0,b5248804-865a-453f-8606-f1e6a0c460de
f1,256,39,4.58,5,1664437779.0,7db8020d-a59d-4e70-adc9-51de071e098c
f1,256,39,14.26,15,1664437789.0,6f4a2869-b371-4e73-8f3a-12d02d6024b6
f1,256,39,4.84,5,1664437799.0,55828a8d-866c-4876-b2e0-c55ce2874658
f1,256,39,4.21,5,1664437810.0,6f2e36c0-8064-4c8f-be24-2f7f2f972385
