problem,constraint,percentile,optimized_configuration,duration_avg,duration_median,duration_percentile10,duration_percentile90,cost_avg,cost_median,cost_percentile10,cost_percentile90
BCPC,2853.3180428571422,,"{'f1': 1472, 'f2': 1664, 'f3': 1664, 'f4': 1664, 'f5': 1280, 'f6': 2048}",2840.9773689999997,2389.38,2162.45,4209.916,89.31711998,74.7501,69.95840000000001,131.3835
BCPC,3081.3964849927843,,"{'f1': 1088, 'f2': 1472, 'f3': 1664, 'f4': 1280, 'f5': 1088, 'f6': 1856}",3080.9359280000003,2539.835,2407.7749999999996,4532.272,76.58261329999999,63.7085,61.833499999999994,110.6544
BCPC,3309.4749271284263,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 1280, 'f5': 512, 'f6': 1472}",3238.166438,2704.2599999999998,2591.3569999999995,4715.736,72.23145212,60.8959,57.9793,104.40429999999999
BCPC,3537.5533692640684,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 896, 'f5': 704, 'f6': 1856}",3527.010834,2857.2749999999996,2753.8379999999997,5244.737999999999,70.11543486000001,59.333400000000005,56.833400000000005,101.27940000000001
BCPC,3765.631811,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 896, 'f5': 512, 'f6': 1472}",3626.177356,2976.1099999999997,2854.308,5352.504000000001,68.87909238,57.5626,55.5834,100.5501
BCPC,3993.710253535353,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 704, 'f5': 512, 'f6': 1856}",3946.478889,3084.5,2954.3920000000003,5872.965000000001,68.70618467,56.833400000000005,54.8542,98.0501
BCPC,4221.788695670995,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 704, 'f5': 512, 'f6': 1472}",4043.7468310000004,3178.8699999999994,3050.8399999999997,5948.091000000001,67.8764953,55.791700000000006,54.125,97.32090000000001
BCPC,4449.867137806637,,"{'f1': 1088, 'f2': 1280, 'f3': 1088, 'f4': 512, 'f5': 512, 'f6': 1856}",4446.462984999999,3519.0299999999997,3353.9049999999993,6570.479,67.84878467,57.927099999999996,55.15629000000001,98.8835
BCPC,4677.945579942279,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 512, 'f5': 512, 'f6': 1472}",4565.818907,3630.7999999999997,3491.36,6748.700000000001,65.10074894,55.2709,53.2917,94.6126
BCPC,4906.0240220779215,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 512, 'f5': 512, 'f6': 1088}",4778.356718999999,3834.77,3694.9889999999996,6970.6370000000015,65.13950053999999,55.062599999999996,53.08339999999999,94.9252
BCPC,5134.102464213564,,"{'f1': 896, 'f2': 1280, 'f3': 512, 'f4': 512, 'f5': 512, 'f6': 1088}",5059.628878,4108.4,3915.6369999999997,7443.370000000002,64.75925053,54.7501,53.08339999999999,94.3001
BCPC,5362.1809063492055,,"{'f1': 896, 'f2': 512, 'f3': 512, 'f4': 512, 'f5': 512, 'f6': 1088}",5439.203698,4409.31,4313.4490000000005,8044.305000000001,64.10221944999999,54.1252,52.4585,93.0502
BCPC,5590.259348,,"{'f1': 1088, 'f2': 1472, 'f3': 1664, 'f4': 320, 'f5': 1280, 'f6': 1856}",5637.490763,4327.29,4154.25,8313.844000000001,65.11645236000001,55.4793,53.9168,94.3002
BCPC,5818.33779062049,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 320, 'f5': 512, 'f6': 1472}",5764.210584,4473.9800000000005,4297.973000000001,8586.679000000002,62.63685759999999,53.708400000000005,51.208400000000005,91.27929999999999
BCPC,6046.416232756132,,"{'f1': 896, 'f2': 1280, 'f3': 1088, 'f4': 320, 'f5': 512, 'f6': 1088}",5939.065251000001,4677.05,4500.087,8554.114000000001,62.28336152,53.500099999999996,51.520900000000005,91.071
BCPC,6274.494674891774,,"{'f1': 896, 'f2': 1280, 'f3': 512, 'f4': 320, 'f5': 1280, 'f6': 1088}",6249.393824,4948.25,4651.603,9193.053,62.55687064,53.1876,51.6251,90.8626
BCPC,6502.573117027416,,"{'f1': 896, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 512, 'f6': 1088}",6655.4391049999995,5248.235000000001,5104.136000000001,9800.118000000002,61.78755422,52.5626,50.895900000000005,89.9252
BCPC,6730.651559163058,,"{'f1': 704, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 512, 'f6': 1088}",6653.668441000001,5245.9800000000005,5103.397000000001,9818.461,62.12535150999999,52.6669,51.5209,90.0294
BCPC,6958.730001298701,,"{'f1': 704, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",6869.000498,5348.895,5117.210000000001,10477.692,61.99354348000001,52.5626,50.895900000000005,89.7169
BCPC,7186.808443434343,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 512, 'f6': 1088}",7095.7623490000005,5620.710000000001,5476.4000000000015,10531.617,61.69146583,52.562599999999996,50.5835,89.40429999999999
BCPC,7414.886885569985,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7274.232873000001,5724.4800000000005,5489.127000000001,11058.392,61.64065006,52.562599999999996,50.5835,89.30010000000001
BCPC,7642.965327705627,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7226.184063000001,5714.3550000000005,5488.888,11041.476,61.32082859,52.562599999999996,50.5834,89.30010000000001
BCPC,7871.043769841269,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7224.982586000001,5718.825000000001,5489.070000000001,11045.216,61.333325229999986,52.562599999999996,50.5835,89.0918
BCPC,8099.122211976911,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 512, 'f6': 512}",7964.409339000002,6518.76,6374.12,11461.351999999999,61.56305946000001,52.562599999999996,50.5835,89.40429999999999
BCPC,8327.200654112552,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 512}",8109.074146000001,6617.880000000001,6383.9580000000005,11893.323,61.20484192999999,52.562599999999996,50.687599999999996,88.7793
BCPC,8555.279096248196,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7233.084139000001,5719.640000000001,5490.716,11041.607999999998,61.32366755999999,52.562599999999996,50.5834,89.30011
BCPC,8783.357538383836,,"{'f1': 512, 'f2': 512, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",7261.541403,5718.6,5488.378000000001,11077.346,61.528255169999994,52.562599999999996,50.687599999999996,89.09200000000001
BCPC,9011.435981,,"{'f1': 896, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",8913.411473,7278.050000000001,7103.894000000001,13599.385999999999,61.97962373000001,53.0834,51.2084,90.446
BCPC,9239.514422655122,,"{'f1': 704, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9114.387976,7446.820000000001,7301.716,13959.484,61.332637080000005,52.4585,50.791799999999995,89.3003
BCPC,9467.592864790764,,"{'f1': 704, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9124.910307,7447.500000000001,7299.776,13968.366999999998,61.37505178999999,52.4585,50.5835,89.3002
BCPC,9695.671306926406,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9620.548265000001,7823.4000000000015,7670.952000000002,14738.703000000001,61.60723244000001,52.4585,50.5835,89.196
BCPC,9923.749749062048,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9583.923803,7822.380000000001,7671.470000000001,14710.049999999997,61.40113903,52.4585,50.5835,89.196
BCPC,10151.82819119769,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9605.899176,7821.740000000002,7673.293000000002,14712.212,61.53648381,52.4585,50.5835,89.09181000000001
BCPC,10379.906633333332,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 320, 'f5': 128, 'f6': 1088}",9557.542543000001,7817.215000000001,7672.260000000001,14722.684000000001,61.26639858999999,52.4585,50.583499999999994,89.09179999999999
