Function,Memory_Size,Max_Memory_Used,Duration,Billed_Duration,UTC_Timestamp,RequestId
f1,128,36,2770.56,2771,1642829641.0,4603b28c-f1f6-476e-977b-c146a5ce5b32
f1,128,36,2781.87,2782,1642829654.0,4150ee72-565d-4635-a05a-0dd24d0660de
f1,128,36,2728.25,2729,1642829666.0,fd95be12-1294-4dd3-9e57-4b48512bcf17
f1,128,36,2756.99,2757,1642829679.0,93b159e6-3c1a-4fb8-867e-d4d726abffed
f1,128,36,2710.97,2711,1642829691.0,53089722-fd5c-41fe-adb3-a73277c95642
f1,128,36,2781.79,2782,1642829704.0,a13195dd-78f7-45c1-8b8b-fab779cb256d
f1,128,36,2779.48,2780,1642829716.0,07a23d32-e631-48f9-a67b-76f1a449cec2
f1,128,36,2727.81,2728,1642829729.0,8c3a7a25-6268-4191-b609-8575120cfb7f
f1,128,36,2774.81,2775,1642829742.0,b83f2f93-41f6-4326-98cd-3299defce1ff
f1,128,36,2766.72,2767,1642829754.0,4e4af9c9-988b-44f6-9481-2e2098b351ac
f1,128,36,2787.88,2788,1642829767.0,24c24779-ac2a-49c0-8685-e28a3fa1a9cd
f1,128,36,2797.48,2798,1642829779.0,6af5be46-5e42-4ab6-8ce1-8556d3eac19e
f1,128,36,2741.14,2742,1642829792.0,9b757724-566d-4a4a-a0db-1146ec7771cc
f1,128,37,2772.47,2773,1642829804.0,4703e822-b8a5-48ef-88e1-25d1e5ca0998
f1,128,37,2746.44,2747,1642829817.0,ba742236-961f-402f-8eae-1a6c809a4bcd
f1,128,37,2714.39,2715,1642829829.0,53c0a0f1-2f29-43ae-ab4f-4ec6fe707427
f1,128,37,2752.51,2753,1642829842.0,83676f24-6541-4d88-8dd3-637938f5cedc
f1,128,37,2802.99,2803,1642829855.0,f8eeb62e-03ae-4fe2-93fd-f83583050379
f1,128,37,2778.14,2779,1642829867.0,99759a6f-36a9-48da-9c1e-c03d3f0826b1
f1,128,37,2755.81,2756,1642829880.0,141c5182-d333-44de-aabe-b364267e98f5
f1,128,37,2736.22,2737,1642829892.0,e70f7a0b-3c50-4206-839b-259d619d6d9c
f1,128,37,2767.63,2768,1642829905.0,e66a5ddc-b292-45aa-bc8c-9fbaa38d34bb
f1,128,37,2764.73,2765,1642829917.0,c24f777e-6503-4e7a-9cb6-e961e5f033f8
f1,128,37,2764.85,2765,1642829930.0,82fd6c53-16c0-459f-8b4b-281b66a475b5
f1,128,37,2757.86,2758,1642829942.0,99f38bf1-27f2-45f0-8a93-d8c281fa471a
f1,128,37,2722.99,2723,1642829955.0,02ef199b-3a6d-4a39-b489-62b339fc7617
f1,128,37,2776.96,2777,1642829967.0,1d844f4f-521f-41b8-bd02-30dd7f3a449e
f1,128,37,2751.55,2752,1642829980.0,1474d62f-f54b-40a0-8274-ed3202c23e7c
f1,128,37,2773.03,2774,1642829992.0,912396ea-0350-49c2-88ed-c8302efded13
f1,128,37,2801.31,2802,1642830005.0,17d59cb4-8bcd-4dbf-8829-e922f6050acd
f1,128,37,2749.69,2750,1642830018.0,7a07d78d-bd39-428d-9027-d8554685315e
f1,128,37,2746.03,2747,1642830030.0,853dd481-0815-4c69-97b7-047cc83e641f
f1,128,37,2748.72,2749,1642830043.0,b917145f-38cf-486f-aa37-ea86a77b7694
f1,128,37,2748.24,2749,1642830055.0,97556293-8206-4e89-9381-b0d3d9dd8334
f1,128,37,2784.06,2785,1642830068.0,5c4940be-b8ad-4d61-a837-049c20a7d0f5
f1,128,37,2756.85,2757,1642830080.0,a8877e7a-b5fc-46a5-a62c-e9f7283a2a90
f1,128,37,2752.52,2753,1642830093.0,c79c09dd-8b5f-4930-b9d1-e179774552cc
f1,128,37,2758.47,2759,1642830106.0,e24bfbea-7a16-4f30-850a-5e9ebc1812ac
f1,128,37,2770.98,2771,1642830118.0,2f0f2c38-aea7-4d49-9d8b-ded4517146a4
f1,128,37,2748.42,2749,1642830131.0,6acfe333-357b-414c-97ba-a75a72f589d5
f1,128,38,2763.06,2764,1642830143.0,71a371df-3010-43fd-8d54-bfc7c20aebe8
f1,128,38,2764.37,2765,1642830156.0,3af41aa9-a6ad-4c95-8775-31daada7e073
f1,128,38,2780.69,2781,1642830168.0,3fdbe704-ce1b-47c3-a799-da414099e0f1
f1,128,38,2768.7,2769,1642830181.0,e69f7983-1bf8-4624-ac31-dc808bcb69dc
f1,128,38,2770.34,2771,1642830193.0,cd943a6e-b91a-4129-8a95-66b8429412a8
f1,128,38,2747.86,2748,1642830206.0,cd561f79-e522-461a-916e-e01ade9ff837
f1,128,38,2772.35,2773,1642830219.0,507fa4dc-c8b8-42c0-9f04-ff91b839a279
